72 41 82
80 57 85
84 46 97
68 31 115
96 51 112
87 49 89
69 58 102
72 39 95
103 43 89
87 25 103
98 48 112
92 52 80
73 37 114
70 48 105
91 56 114
105 56 110
93 25 97
95 48 102
87 31 116
82 42 85
-4 18 10
3 47 10
27 34 34
-10 41 31
2 20 33
17 32 16
-6 48 2
17 45 16
-2 49 28
-3 22 22
16 21 8
7 18 11
11 22 12
27 45 3
25 47 28
24 51 29
23 50 18
11 32 4
4 25 2
0 38 34
39 67 42
43 69 22
41 84 6
56 100 37
62 96 26
71 95 30
75 85 44
74 101 27
63 96 42
53 90 16
68 78 38
48 76 25
49 98 45
74 93 21
54 83 31
59 84 34
70 87 24
57 101 43
70 65 22
57 87 38
45 47 3
35 57 -8
27 76 14
24 77 -6
31 77 5
26 73 2
28 51 24
26 81 0
14 61 9
27 63 9
44 47 27
26 68 14
32 83 21
11 57 15
36 78 3
32 76 29
23 81 -1
39 64 -8
20 77 19
41 76 2
9 86 87
6 57 101
10 56 108
33 50 85
7 62 81
10 67 84
18 69 108
37 51 114
3 55 92
12 76 91
37 83 102
41 54 113
4 47 118
4 75 94
41 61 104
35 85 114
32 69 108
16 85 89
35 75 90
9 87 80
61 29 78
98 10 71
92 13 71
89 4 72
86 8 64
58 28 63
91 40 71
59 28 70
65 19 82
93 23 66
67 31 55
69 38 80
61 29 64
91 5 45
70 16 68
69 3 57
77 36 75
65 28 79
66 31 77
58 33 53
97 80 77
87 77 84
94 62 80
86 58 50
101 87 75
85 75 85
110 60 64
119 71 70
101 75 72
86 70 56
98 82 60
109 69 60
91 63 71
84 55 58
90 76 59
115 50 57
98 65 88
93 54 77
108 90 48
81 66 74
16 32 8
29 55 -10
33 34 19
29 26 -2
33 26 23
2 50 16
37 58 -10
27 58 1
34 34 14
28 49 17
17 28 27
6 57 2
38 42 21
32 52 19
21 24 2
-1 55 11
17 42 3
23 59 5
19 43 19
30 32 21
15 69 73
8 77 76
-7 60 70
-17 58 75
-15 52 91
3 80 96
-7 62 77
8 71 94
5 77 105
-19 48 89
17 57 86
16 67 72
19 52 86
3 76 71
-12 67 89
-12 50 68
13 61 92
-15 69 70
-15 47 67
-5 69 78
51 5 55
41 32 52
11 30 43
26 10 71
31 11 45
50 -3 70
21 8 45
28 9 79
43 24 52
30 -5 42
37 13 76
44 9 51
19 -7 47
24 -6 71
20 32 46
22 1 71
37 0 59
50 11 72
27 29 52
27 26 50
22 30 78
17 48 85
8 29 88
-6 18 110
5 56 90
-11 19 108
-1 25 97
23 57 90
0 21 83
9 53 117
16 47 105
5 40 100
12 48 102
2 27 99
18 52 104
2 20 110
-8 36 89
-5 24 114
-13 31 112
0 57 117
50 89 17
55 104 55
54 76 39
50 89 30
73 77 45
84 114 51
58 76 34
53 81 19
62 98 49
